,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_,SSD,HDD
580,Mediacom,Notebook,4,Intel,Windows,1.45,20725.92,0,1,157.3505121487356,Intel Processor,32,0
581,Dell,Notebook,8,Intel,Windows,1.9,53733.94559999999,0,0,100.45466986113651,Intel Core i5,0,500
582,HP,Notebook,4,Intel,Windows,1.49,38308.32,0,0,165.6321180513006,Intel Core i3,128,0
583,Dell,Notebook,16,Nvidia,Windows,1.93,81912.13919999999,0,0,141.21199808219862,Intel Core i7,256,0
584,Dell,Netbook,4,Intel,Chrome,1.26,15717.6,0,0,135.0942111925629,Intel Processor,0,0
585,MSI,Gaming,16,Nvidia,Windows,4.5,125154.72,0,0,127.33567457123111,Intel Core i7,128,1000
586,HP,Gaming,16,Nvidia,Windows,3.78,79813.44,0,1,127.33567457123111,Intel Core i7,256,1000
587,Lenovo,Ultrabook,12,Intel,Windows,1.4,89137.44,0,1,157.3505121487356,Intel Core i7,256,0
588,Lenovo,Notebook,12,Intel,Windows,2.2,32447.52,1,0,100.45466986113651,Intel Core i7,0,1000
589,Asus,Gaming,8,Nvidia,Windows,2.73,94305.6,0,1,127.33567457123111,Intel Core i5,128,1000
590,Asus,2 in 1 Convertible,8,Intel,Windows,2.2,39373.92,1,0,100.45466986113651,Intel Core i5,0,1000
591,Lenovo,Notebook,12,AMD,Windows,2.2,50562.72,0,0,141.21199808219862,AMD processor,512,0
592,Dell,2 in 1 Convertible,4,Intel,Windows,1.39,32127.84,1,0,135.0942111925629,Intel Processor,128,0
593,Samsung,Notebook,16,Nvidia,Windows,2.5,90522.72,0,0,141.21199808219862,Intel Core i7,128,1000
594,Lenovo,Notebook,4,Intel,No,2.8,28185.12,0,0,127.33567457123111,Intel Core i3,0,500
595,Lenovo,Notebook,8,Intel,Windows,2.29,24455.52,0,0,100.45466986113651,Intel Core i3,0,1000
596,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.37,107892.0,1,1,165.6321180513006,Intel Core i7,512,0
597,Lenovo,Notebook,8,Intel,Windows,1.7,78534.72,0,1,157.3505121487356,Intel Core i5,256,0
598,Dell,2 in 1 Convertible,8,Intel,Windows,1.34,88977.59999999999,1,0,176.23257360658386,Intel Core i5,256,0
599,Dell,Workstation,8,Nvidia,Windows,2.06,93932.64,1,0,141.21199808219862,Intel Core i7,256,0
600,HP,Notebook,8,Intel,Windows,1.84,64948.32,0,0,141.21199808219862,Intel Core i7,256,0
601,HP,Notebook,4,Intel,Windows,2.1,35616.6144,0,0,100.45466986113651,Intel Core i3,0,500
602,Acer,Notebook,4,Intel,Windows,1.6,17529.12,0,0,157.3505121487356,Intel Processor,0,0
